bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
Mascoma Bank,Super Community Bank,FALSE,NA,"2,733,504","62,899","70,100","72,357","38,963","42,790","44,632",352,365,385,"15,306","17,485","17,242",,,,,,
Maspeth Federal Savings and Loan Association,Super Community Bank,FALSE,NA,"2,127,713","35,964","38,961","39,906","18,655","18,582","19,057",196,183,185,"12,907","16,116","16,362","1,365","1,463","1,334",230,289,281
Mercantile Bank,Super Community Bank,FALSE,NA,"4,853,001","92,986","104,575","102,169","56,887","62,057","61,018",621,627,630,"23,396","29,690","28,406",202,248,212,326,267,180
"Merchants Bank, National Association",Super Community Bank,FALSE,NA,"2,576,574","68,718","71,097","69,365","42,215","43,239","40,615",424,427,406,"21,708","23,029","24,178","1,024","1,710","1,696",555,490,0
Meridian Bank,Super Community Bank,FALSE,NA,"2,062,088","93,086","103,727","80,033","72,147","78,866","53,034",381,409,362,"16,374","20,095","21,958","1,505","2,000","1,673",0,0,0
Merrick Bank Corporation,Super Community Bank,FALSE,NA,"5,904,007","253,459","289,593","375,136","48,642","53,099","64,102",378,450,502,"200,587","232,701","307,243","5,282","2,789",918,"1,281","1,605","2,356"
Metro City Bank,Super Community Bank,FALSE,NA,"3,443,765","40,683","48,128","49,101","25,500","30,112","30,502",211,216,216,"10,100","12,988","13,742",0,0,0,0,0,0
Metropolitan Commercial Bank,Super Community Bank,FALSE,NA,"6,265,921","73,120","86,023","145,971","39,797","45,127","55,565",189,231,251,"24,983","33,521","82,193",0,0,0,0,"1,748","7,985"
Mid Penn Bank,Super Community Bank,FALSE,NA,"4,481,008","66,835","76,715","94,076","36,078","39,814","49,897",470,572,598,"20,998","27,161","30,875",924,"1,105",,,,
Middlesex Savings Bank,Super Community Bank,FALSE,NA,"6,204,550","108,843","107,798","110,844","67,925","68,813","69,165",531,488,475,"26,769","24,539","27,306",,,,,,
Midland States Bank,Super Community Bank,FALSE,NA,"7,845,713","184,154","175,093","175,698","84,780","86,582","90,305",900,907,935,"75,565","68,080","65,141",,,,,,
Midwest BankCentre,Super Community Bank,FALSE,NA,"2,556,235","52,551","56,760","56,972","30,055","34,676","33,967",267,274,273,"16,548","15,769","17,418",93,101,130,362,495,377
MidWestOne Bank,Super Community Bank,FALSE,NA,"6,574,512","149,951","115,870","130,112","64,723","67,414","75,127",757,731,785,"29,983","26,632","31,135",0,0,,0,0,
Minnwest Bank,Super Community Bank,FALSE,NA,"2,847,684","51,263","56,362","70,512","32,185","33,746","41,800",336,397,382,"14,142","17,537","22,393",351,308,632,"1,030",776,0
Mizuho Bank (USA),Super Community Bank,FALSE,NA,"7,003,100","306,695","333,369","439,095","30,510","30,659","31,125",138,130,99,"272,075","300,603","406,092",0,0,0,0,0,0
Montecito Bank & Trust,Super Community Bank,FALSE,NA,"2,285,315","54,701","58,433","61,478","32,940","33,835","35,642",248,257,268,"14,670","17,502","18,143",0,"1,320","1,681",0,0,0
Morton Community Bank,Super Community Bank,FALSE,NA,"4,865,566","62,774","68,800","71,936","36,648","40,120","41,984",437,420,418,"17,411","19,379","20,284",,,,,,"2,668"
"MVB Bank, Inc.",Super Community Bank,FALSE,NA,"3,028,574","87,182","85,684","103,501","50,351","46,506","55,580",287,417,382,"28,450","29,947","38,123","3,026","3,918","4,309","2,120",,
"National Cooperative Bank, N.A.",Super Community Bank,FALSE,NA,"3,171,026","90,663","107,899","100,305","60,731","67,101","60,853",335,356,346,"23,711","34,788","33,114","3,015","4,941","3,669",69,184,81
National Exchange Bank and Trust,Super Community Bank,FALSE,NA,"2,635,396","53,329","46,698","48,900","28,088","27,929","29,983",364,357,359,"10,611","13,052","13,839",0,0,0,0,0,0
NBH Bank,Super Community Bank,FALSE,NA,"9,523,916","199,728","182,853","200,158","136,034","121,882","118,491","1,201","1,136","1,288","34,442","34,596","47,966",,,"6,443",,,
Needham Bank,Super Community Bank,FALSE,NA,"3,592,881","51,961","57,289","71,495","33,262","38,046","47,466",229,257,308,"14,770","15,425","19,785",0,0,0,0,0,0
New Mexico Bank & Trust,Super Community Bank,FALSE,NA,"2,686,283","38,210","49,321","50,788","10,370","12,201","12,763",133,169,148,"24,620","32,800","34,092",0,,,0,,
Nicolet National Bank,Super Community Bank,FALSE,NA,"8,748,360","96,594","123,694","155,842","53,918","67,561","84,238",556,856,942,"29,210","40,575","48,124",,,,,,
"North American Savings Bank, FSB",Super Community Bank,FALSE,NA,"2,517,837","142,739","155,559","100,262","102,722","106,733","62,981",650,652,432,"32,296","40,750","29,114",,,,,,
North Shore Bank,Super Community Bank,FALSE,NA,"2,582,111","68,293","72,353","73,573","42,927","45,111","44,828",489,452,419,"16,216","18,221","19,382",,,,,,
"Northbrook Bank & Trust Company, National Association",Super Community Bank,FALSE,NA,"4,316,352","40,234","43,639","44,856","16,657","17,440","19,520",94,91,94,"18,726","21,077","20,805",,,,,,
Northeast Bank,Super Community Bank,FALSE,NA,"2,809,418","40,696","43,931","50,740","24,986","25,075","32,886",165,168,170,"11,679","15,252","13,994",741,"1,046","1,010",535,458,341
Northern Bank & Trust Company,Super Community Bank,FALSE,NA,"2,834,447","43,748","47,067","53,133","27,102","28,633","31,392",216,224,235,"12,219","13,610","16,709",955,"1,804","2,636",321,488,540
Northfield Bank,Super Community Bank,FALSE,NA,"5,623,771","76,869","78,328","75,929","40,879","43,106","41,473",378,385,399,"18,794","19,078","18,901",,"1,491","1,635",,,
Northpointe Bank,Super Community Bank,FALSE,NA,"4,401,730","272,087","284,047","221,487","217,379","228,416","159,876","1,040","1,233",973,"45,580","46,139","52,280","4,107","6,876","7,433",,,
Northrim Bank,Super Community Bank,FALSE,NA,"2,656,653","86,988","87,465","85,906","59,658","58,834","56,862",435,451,469,"18,460","19,304","20,035",0,0,0,0,0,0
Northwest Bank,Super Community Bank,FALSE,NA,"2,471,026","57,439","58,725","59,735","34,470","34,020","34,510",337,327,323,"17,062","17,906","18,629",151,209,160,136,50,43
OakStar Bank,Super Community Bank,FALSE,NA,"2,022,239","43,463","51,666","61,216","30,556","35,824","39,986",286,353,382,"9,019","11,467","12,814",395,498,0,295,304,0
Ocean Bank,Super Community Bank,FALSE,NA,"5,916,905","120,051","127,072","145,596","75,499","81,563","90,106",653,651,652,"30,869","32,158","40,648",,,,"2,631",,
"Old Plank Trail Community Bank, National Association",Super Community Bank,FALSE,NA,"2,303,265","42,006","42,603","40,729","17,340","17,965","19,167",146,138,146,"20,819","20,923","17,862",,,,,,
Old Second National Bank,Super Community Bank,FALSE,NA,"5,883,754","77,547","96,884","146,148","46,814","55,500","82,701",533,891,819,"21,783","27,200","45,872",0,"1,978",0,0,0,0
Open Bank,Super Community Bank,FALSE,NA,"2,094,001","30,894","35,264","43,952","19,716","21,027","26,970",173,193,221,"6,278","9,089","11,248",0,0,0,0,0,0
Orange Bank & Trust Company,Super Community Bank,FALSE,NA,"2,277,724","35,966","38,762","44,495","19,692","20,323","24,680",170,179,192,"12,757","14,599","15,575","1,626","1,719","1,796",0,0,0
Oriental Bank,Super Community Bank,FALSE,NA,"9,709,667","332,819","322,737","338,517","120,647","118,911","130,263","2,272","2,258","2,221","165,438","159,915","164,073",0,0,0,0,0,0
Origin Bank,Super Community Bank,FALSE,NA,"9,631,077","140,153","144,051","170,026","80,689","82,408","99,708",674,681,817,"43,103","45,195","49,523",,,,,"3,350",
Orrstown Bank,Super Community Bank,FALSE,NA,"2,918,941","70,427","71,955","80,066","43,050","44,002","49,321",408,421,412,"15,722","16,923","19,008",0,0,0,0,0,0
Parkway Bank and Trust Company,Super Community Bank,FALSE,NA,"3,251,543","37,557","38,356","43,492","20,631","21,705","23,888",299,298,305,"10,111","8,973","11,769",554,546,"1,100",544,365,658
"Pathward, National Association",Super Community Bank,FALSE,NA,"6,661,041","320,298","360,042","415,367","134,310","156,984","175,917","1,038","1,140","1,150","148,483","164,350","198,264","16,497","28,308","38,719",0,0,0
PCB Bank,Super Community Bank,FALSE,NA,"2,419,997","40,900","42,456","50,214","26,259","28,102","33,160",249,247,272,"9,299","8,978","10,738",968,714,0,0,0,0
Peapack-Gladstone Bank,Super Community Bank,FALSE,NA,"6,351,237","124,012","124,566","132,671","77,516","81,864","89,476",481,485,489,"30,119","25,552","24,491",,,,,,
Penn Community Bank,Super Community Bank,FALSE,NA,"2,660,709","55,551","55,693","59,738","31,733","32,063","34,868",304,310,291,"17,058","17,448","18,856","1,376","1,417","1,549",,,
Peoples Bank,Super Community Bank,FALSE,NA,"2,579,261","67,173","72,784","71,515","44,352","47,613","46,280",445,446,436,"14,449","15,967","15,949",207,248,0,0,410,0
Peoples Bank,Super Community Bank,FALSE,NA,"2,066,734","41,392","47,262","63,081","22,065","24,241","28,990",263,263,304,"13,286","16,365","24,376","1,342","1,997","2,700",0,0,0
Peoples Bank,Super Community Bank,FALSE,NA,"7,197,574","131,586","179,526","201,903","72,811","91,167","108,962",894,"1,188","1,267","42,745","68,668","65,664","3,953","11,002","7,670","1,316","2,923","1,975"
"Peoples Bank, A Codorus Valley Company",Super Community Bank,FALSE,NA,"2,192,138","50,682","55,105","58,905","30,040","33,447","35,066",343,327,332,"14,292","15,287","17,123",0,0,0,0,0,0
Peoples Security Bank and Trust Company,Super Community Bank,FALSE,NA,"3,553,618","55,951","59,180","64,599","31,197","32,818","35,807",368,383,404,"13,510","15,456","16,148",530,669,"1,086",847,757,539
PeoplesBank,Super Community Bank,FALSE,NA,"3,668,204","68,000","76,175","77,681","35,419","38,008","37,887",311,299,309,"22,380","27,757","29,264","1,167","1,512",,318,425,
Pinnacle Bank,Super Community Bank,FALSE,NA,"2,038,739","41,120","47,778","55,232","21,317","25,236","29,247",285,309,342,"15,128","13,913","16,450",556,,,100,,
Pinnacle Bank,Super Community Bank,FALSE,NA,"2,624,622","37,712","37,535","42,970","18,852","18,814","20,677",231,223,288,"12,399","11,860","15,360","1,110","1,139","1,324",,,
Pinnacle Bank,Super Community Bank,FALSE,NA,"7,724,198","124,763","128,759","137,765","72,817","76,767","80,594",897,876,891,"38,660","38,755","44,506","5,812","6,064","7,291",,,
Ponce Bank,Super Community Bank,FALSE,NA,"2,300,787","40,450","45,448","75,965","18,318","16,581","26,347",177,172,253,"12,945","17,973","35,730",0,0,0,0,0,0
Poppy Bank,Super Community Bank,FALSE,NA,"5,315,215","34,010","38,419","45,465","20,578","21,848","24,169",159,177,182,"9,566","12,207","16,411",0,0,0,"1,045","1,099",0
Preferred Bank,Super Community Bank,FALSE,NA,"6,422,497","57,357","60,793","68,822","39,829","42,963","48,968",266,279,299,"10,748","10,948","12,957",0,0,0,0,0,0
Premier Bank,Super Community Bank,FALSE,NA,"8,408,012","154,264","145,170","151,944","66,877","80,073","87,027","1,038","1,024","1,075","62,740","41,468","45,036","1,816","3,816","4,434",889,"1,133",641
Primis Bank,Super Community Bank,FALSE,NA,"3,564,481","65,940","70,079","90,285","36,187","36,065","48,237",372,418,565,"19,517","22,973","29,864","1,634","1,778",0,"1,410",0,0
Principal Bank,Super Community Bank,FALSE,NA,"8,389,661","23,915","25,846","107,990","11,074","11,916","56,282",157,224,653,"12,231","13,414","49,274",,,,,,
Quad City Bank and Trust Company,Super Community Bank,FALSE,NA,"2,304,453","38,268","40,106","45,016","21,614","23,864","27,197",218,226,258,"12,440","12,309","13,303",,,,,,
"RBC Bank (Georgia), National Association",Super Community Bank,FALSE,NA,"6,097,782","65,568","69,263","77,460","24,763","26,445","27,667",186,192,233,"38,783","40,900","47,455",,,,331,96,302
RCB Bank,Super Community Bank,FALSE,NA,"3,775,612","86,521","87,065","95,261","53,137","51,205","55,169",739,736,751,"20,097","20,967","24,167",0,0,0,0,0,"1,793"
Red River Bank,Super Community Bank,FALSE,NA,"3,082,034","52,143","55,854","60,574","31,160","32,449","34,560",336,351,352,"15,877","17,962","19,905",0,0,0,0,0,0
Republic Bank & Trust Company,Super Community Bank,FALSE,NA,"5,824,543","186,716","187,109","189,797","105,743","109,712","111,010","1,094","1,045",998,"53,138","58,011","60,145",0,0,0,0,0,0
Republic Bank of Chicago,Super Community Bank,FALSE,NA,"2,703,177","49,026","46,053","56,621","26,764","21,517","27,375",268,258,281,"16,115","18,858","22,935",,,,,,
Republic First Bank,Super Community Bank,FALSE,NA,"6,034,456","114,617","119,220","127,328","54,346","56,689","56,569",483,538,522,"32,954","38,893","46,613",,"2,957","2,983",,,
Ridgewood Savings Bank,Super Community Bank,FALSE,NA,"6,834,299","100,385","101,865","96,699","58,532","59,329","55,027",546,519,511,"23,553","24,022","24,891",,"1,729","1,929",,,
